id,url,title,content,label
1,https://www.aosfatos.org/noticias/falso-bolsonaro-lula-brasileiros-gaza/,É falso que Bolsonaro recebeu antes de Lula brasileiros repatriados da Faixa de Gaza,ex presidente jair bolsonaro pl receber presidente luiz inácio lula silva pt brasileiro resgatar recentemente faixa gaza peça desinformação alegação compartilhar ser atual conteúdo antigo vídeo registrar voo doméstico sair campinas sp junho ano mensagem bom vindas gravar bolsonaro endereçar repatriar wuhan china publicação enganoso acumular milhar visualização tiktok kwai terça feira mentiroso publicação afirmar bolsonaro receber cidadão brasileiro vinr faixa gaza lula peça desinformação usar registro antigo operação resgater trazer pessoa brasil noite último feira vídeo mostrar passageiro comemorar presença bolsonaro avião gravar junho ano ocasião ex presidente viajar campinas sp brasília áudio aparecer peça desinformação fevereiro cidadão brasileiro resgatar wuhan china pandemia covid pessoa último feira chegar brasília voo fab força aérea brasileira brasileiro palestino vinr faixa gaza presidente lula dama rosângela silva ministro comandante forças armadas receber repatriar pista pouso fotor abaixo haver registro bolsonaro estar presente recepção presidente dama receber repatriar faixa gaza chegar brasil noite último feira ricardo stuckert pr,0
2,https://www.aosfatos.org/noticias/video-antigo-mexico-circula-destruicao-tunel-do-hamas/,Vídeo antigo de explosão em mercado no México circula como se mostrasse destruição de túnel do Hamas,vídeo mostrar forças defesa israel destruir túnel repleto explosivo construir extremista palestino hamas alegar publicação rede gravação original fazer dezembro registrar explosão ocorrer mercado fogo artifício cidade tultepec méxico publicações conteúdo enganoso acumular curtida instagram visualização tiktok terça feira conteúdo circular whatsapp plataformar estimar alcance conteúdo falar fátima vídeo mostrar diversos explosão simultâneo circular rede registrar exército israel destruir túnel hamas repleto explosivo busca reverso fato verificar gravação verdade fazer dezembro cidade tultepec méxico durante explosão ocorrer mercado san pablito especializar venda fogo artifício pessoa morrer decorrência incidente capital mexicano pirotecnia município palco série incidente similar setembro explosão mercado foguete santiaguito ferir pessoa quase ano incêndio destruir mercado san pablito restauração explosão ocorrer túneis hamas último semana fatos desmentir peça desinformação tirar contexto reportagem escavação fazer movimento xiita libanês hezbollah alegar tratar túnel hamas fato entanto extremista palestino controlar extenso labirinto passagem subterrâneo faixa gaza recentemente exército israel afirmar destruir de esse escavação,0
3,https://www.aosfatos.org/noticias/video-flavio-dino-comediante-mulher-lider-comando-vermelho/,"Dino diz em vídeo ser fã de comediante, não de mulher de líder do Comando Vermelho",ministro justiça segurança pública flávio dino psb dizer vídeo circular rede fã luciane barbosa farias mulher líder cv comando vermelho gravação julho ano elogiar comediante potiguar virgínia álvares peça desinformação reunir milhar visualização tiktok instagram terça feira vídeo mostrar virgínia álvares ser abraçar elogiar flávio dino circular rede comediante potiguar ser luciane barbosa farias advogado casado clemilson santos farias líder facção criminoso comando vermelho registro ser compartilhar rede acompanhar legenda enganoso publicar originalmente instagram álvares época encontro saída evento julho ano comparação foto álvares farias permitir identificar diferença físico abaixo comediante olho espaçar sobrancelha arquear rosto redondo advogado comparação comediante esq olho espaçar sobrancelha arquear rosto redondo advogado dir reprodução instagram feira dino tornar alvo crítica estadão noticiar farias ter participar reunião secretários ministério justiça segurança pública março maio pasta afirmar farias pedir audiência entidade advogar presença acompanhante responsabilidade exclusivo entidade requerente advogada apresentar dirigente afirmar trecho nota advogado amazonense integrar comitiva liderar ex deputada estadual janira rocha psol rj solicitar reunião tratar denúncia irregularidade penitenciário perfil dino negar receber líder facção pessoa ligar crime organizar dizer audiência advogada realizar conhecimento recebi audiência ministério justiça líder facção criminoso esposo parente vizinho modo absurdo simplesmente inventar presença audiência realizou gabinete audiênciar outro secretário ex deputado federal elias vaz explicar atender rocha acompanhante conhecer citar profissional desejar falar vítima homicídio senhora luciane acompanhante advogado janira rocha limitar falar suposto irregularidade penitenciário publicar vaz rede social,0
4,https://www.aosfatos.org/noticias/falso-video-bandeira-barcarena-versao-comunista-simbolo-nacional/,"Vídeo mostra bandeira de Barcarena, no Pará, e não versão comunista do símbolo nacional",órgão público pará hastear versão comunista bandeira brasil alegar publicação rede vídeo compartilhar peça desinformação mostrar realidade emblema município barcarena pa possuir similaridade símbolo nacional trazer brasão município faixa vermelho remetir revolta popular cabanagem posts conteúdo enganoso acumular cerca curtida instagram milhar visualização tiktok feira peça desinformação circular whatsapp plataformar estimar alcance conteúdo falar fátima vídeo circular rede homem identificar mentir alegar órgão público pará ter erguir versão comunista bandeira nacional gravada barcarena pa filmagem mostrar realidade emblema município hastear topo prédio agência detran departamento estadual trânsito criar bandeira barcarena similaridade emblema nacional guardar diferença visível presença escudo município formar chaminé rodar dentado faixa vermelho representar sangue derramar cabanagem revoltar popular ocorrer início município bandeira barcarena emblema município paraense elemento similar símbolo nacional reprodução wikipédia peça desinformação alegar governo lula estar implantar comunismo brasil base presença cor vermelho símbolo fachar instituição público ano fato desmentir série vídeo falso afirmar cor exército brasileiro estar ser modificar adequá lo suposto ideologia político vermelho entanto cor oficial instituição,0
5,https://www.aosfatos.org/noticias/falso-lula-2018-brasil-reservas/,"Lula se referia a dados de 2018 quando disse que Brasil tinha R$ 1,45 trilhão em reservas",presidente luiz inácio lula silva pt dizer entrevista gravar dezembro governo bolsonaro pl deixar trilhão reserva internacional vídeo compartilhar peça desinformação realidade registrar lula menção montante deixar michel temer mdb us bilhão cerca trilhão cotação época dezembro somar haver cair us bilhão publicação falar descontextualizar acumular compartilhamento facebook visualização tiktok feira publicações rede distorcer entrevista antigo conceder presidente lula dcm sugerir petista ter confirmar governo bolsonaro deixar governo dezembro reserva internacional trilhão entrevista entanto ar abril gestão bolsonaro trecho compartilhar post enganosos lula referer quantia deixar michel temer mdb contatada fato assessoriar presidente confirmar lula refer montante registrar anterior início governo bolsonaro vídeo completo abaixo minuto verificar petista criticar antecessor verba caixo combater pandemia covid citar lula referente reserva internacional registrar banco central us bilhão cerca trilhão cotação époco trilhão cotação atual governo bolsonaro reserva cair us bilhão cerca trilhão cotação atual reserva internacional dinheiro guardar banco central proteger país turbulência internacional crise câmbio somar compor ativo dólar servir garantir cumprimento obrigação acordo externo caso crise,0
99,https://www.aosfatos.org/noticias/enchente-vale-do-taquari-nao-foi-causada-por-comportas-barragens/,"Enchente no Vale do Taquari, no RS, não foi causada por abertura de comportas de barragens",enchente atingir vale taquari rio sul ter ser causar comporta barragem região aberto administradora hidrelétricas de elas possuir comporta capaz controlar vazão represa governo estadual afirmar haver indício barragem ter influenciar volume enchente atingir região peça trazer alegação basear falar apresentador alexandre garcia repercutir trecho ofício enviar prefeitura bento gonçalves rs administrador barragem publicação enganoso acumular curtida instagram compartilhamento facebook publicação viralizar rede alegação enganoso enchente atingir vale taquari rio sul causar abertura comporto barragem região hidrelétricas castro alves monte claro julho de elas possuir comporto estrutura semelhante poder utilizar controlar fluxo água conforme explicar ceran companhia energética rio antas administrar estrutura capacidade armazenamento regular fluxo rio excedente água passar barragem nota enviar fatos secretaria ambiente infraestrutura governo gaúcho dizer caso barragem castro alves ceran atinger evento climático haver evidência barragem ter influenciar agravamento enxurrar afirmaçãor encontro posicionamento secretário marjorie kauffmann entrevista rádio independente domingo barragen possuir pequeno comporta incapaz controlar fluxo água quantidade operação barragem ter influência desastre secretário apontar haver excesso excepcional chuva água passar barragem hidrelétrica situação normal vazão água hidrelétrico castro alves ocorrer fio água reprodução ceran linha dia setembro publicação rede social passar especular comporta barragem região vale taquari ter ser aberto ter contribuir aumentar enchente atingir região prefeito organizar questionar ceran assunto feira gestão bento gonçalves rs encaminhar ofício empresa pergunta enchente atingir região questionamento haver fechamento aberturar algum comportar dia ceran publicar nota explicar havia comporta barragem fato entrar contato prefeitura questionar companhia responder pergunta fazer ofício receber retorno publicação checagem dia apresentador alexandre garcia repercutir envio ofício fazer prefeitura bento gonçalves programa oeste filtro preciso investigar chuva chuva causa original governo petista construír represa pequeno aparentemente abrir comporta dizer hidrelétricas ter ser fato inaugurar durante gestão petista ter receber financiamento bndes banco nacional desenvolvimento econômico social valer ressaltar administrar ceran empresa privado investimento ceee companhia estadual geração energia elétrica falar garcia passar compartilhar rede ter culpar pt enchente sábado chefe agu advocacia união jorge messias dizer ex twitter determinar imediato instauração procedimento campanha desinformação promover jornalista determinei procuradoria nacional defesa democracia imediato instauração procedimento campanha desinformação promover jornalista inaceitável profundo dor tenhamos lidar informação falso feira ministro justiça segurança pública flávio dino psb dizer citar nome garcia polícia federal conhecimento fake news referente crise humanitário rio sul adotar providência prever lei contatar fatos garcia dizer basear procuradoria prefeitura bento gonçalves pedir investigação caso comentar declaração messias dino,0
803,https://www.aosfatos.org/noticias/cartilha-citada-por-damares-nao-ensina-criancas-a-usar-crack/,Cartilha citada por Damares não ensina crianças a usar crack,manual produzir ministério saúde durante governo luiz inácio lula silva pt tratar cartilha erotizar criança ensinar crack afirmar publicação rede social documento citar produzir programa combater infecção sexualmente transmissível aids voltar usuário droga adulto objetivo documento reduzir dano consumo psicotrópico incentivar uso de eles peça desinformação publicar ex ministra damares alves twitter acumular compartilhamento rede social publicação semelhante compartilhado centena facebook vídeo publicar rede social ex ministra mulher família direitos humanos damares alves republicanos distorcer finalidade manual redução dano droga produzir governo federal durante gestão luiz inácio lula silva pt contrário dizer ex ministra publicação voltar ensinar jovem consumir droga ter objetivo sexualizar criança intitular álcool droga afetar sentido alterar direito saúde documento produzir programa nacional dst aids ministério saúde político redução dano acordo oms organização mundial saúde englobar atividade visar minimizar impacto físico social incluir transmissão hiv incorrir comportamento relacionar uso droga organização governo devir orientar abstinência haver pessoa continuar droga temporariamente orientar político redução dano redução dano página cartilha exibia estratégia diminuir consequência uso explicar fatos mariângela simão diretora programa nacional dst aids ministério saúde material direcionar apoiar abordagem usuário droga ser dirigir público específico uso escola população dirceu greco substituir simão diretoria programa reafirmar fatos material destinar usuário entorpecente pessoa ter contato público explicar crítica origem desconhecimento estratégia página documento mostrar damares alves afirmar programa redução dano incentivar uso distribuir droga distribuição material preventivo visar proteção saúde distribuição époco publicação conteúdo cartilha criticar parlamentar tucano gerson camata entrevistar reportagem veicular band junho panfleto distribuir parada orgulho lgbtqia paulo feira poder comentar checagem haver resposta fontes,0
1703,https://www.boatos.org/brasil/usar-calcas-caidas-tem-um-significado-gay-em-origem-boato.html,Usar calças caídas tem um significado gay em origem #boato,acha andar calças caídas mostrando cueca maneiro leia tendência nascer penitênciária estados unidos recluso estar receptivo manter relação sexual preso precisar inventar sinal passar desperceber guarda prisional sofrer consequência usasse calça caír abaixo cintura modo mostrar parcialmente nádego demonstrar disponível sexo homem modismo pessoas copiam moda saberem veio filho usando calça caída leia passe significado origem ler usarão,1
6,https://www.aosfatos.org/noticias/falsa-foto-sergio-massa-mesa-com-cocaina/,É falsa foto que mostra Sergio Massa diante de mesa com cocaína,editar imagem mostrar ministro economia argentina candidato presidência país sergio massa meso fileira cocaína entorpecente aparecer registro inserir digitalmente fotor massa aparecer político argentino haver sinal droga imagem original publicações conteúdo enganoso acumular centena compartilhamento facebook centena curtida instagram feira conteúdo circular whatsapp plataformar estimar alcance fale fátima fotor publicar deputado argentino facundo moyano editar crer sergio massa ter ser flagrar mesa fileir cocaína registro original abaixo mostrar massa moyano atual deputado cristian ritondo haver sinal droga original fotor mostrar droga meso registrar sergio massa político argentino facundo moyano cristian ritondo reprodução facebook peça desinformação tentar associar massa consumo drogas checagem anterior fatos verificar falso vídeo supostamente mostrar candidato cheirar cocaína conteúdo enganoso teor ser desmentir agência checagem argentina candidato governista sergio massa disputar dia novembro turno eleição presidencial argentina político extremo javier milei etapar pleito massa conquistar cerca voto milei,0
7,https://www.aosfatos.org/noticias/falso-video-libano-encenacao-palestinos-culpar-israel/,"Vídeo mostra gravação no Líbano, não encenação feita por palestinos para culpar Israel por violência",vídeo circular rede mostrar palestino encenar resgate criança ferir objetivo culpar israel ato violento faixa gaza imagem compartilhar peça desinformação bastidor gravação curto metragem libanês causa palestina vídeo descontextualizar acumular compartilhamento ex twitter milhar visualização tiktok início feira cena gravação curto metragem libanês the reality dirigido mahmoud ramzi ser compartilhar rede descontextualizar acusar palestino estar forjar cena violência criança conflito israel hamas vídeo original publicar dia outubro perfil instagram ator produção mostrar bastidor filme criar apoiar causa palestina faixa gaza diretor mahmoud ramzi compartilhar instagram vídeo desmentir alegação gravação circular rede mostrar sofrimento população gaza maneira artístico explicar post peça desinformação sugerir palestino estar simular cena agressão acusar israel cometer ato violento fato desmentir publicação usar cena filme alegar palestino ter encenar agressão menino apontar registro real conflito síria falso ter ser produzir gaza,0
